symbol,open,high,low,close,volume
SHSE.603606,54.08,55.0,53.4,54.63,6213822
SHSE.603701,12.65,12.88,12.5,12.75,1688318
SHSE.601366,5.04,5.08,5.03,5.08,8712929
SHSE.688387,5.58,5.62,5.49,5.56,15522869
SHSE.603385,6.07,6.19,6.02,6.18,2662980
SHSE.603725,6.14,6.33,6.14,6.32,2436614
SHSE.688388,13.55,13.75,13.3,13.32,5557456
SHSE.601158,4.8,4.82,4.74,4.75,9504398
SHSE.600278,6.48,6.59,6.4,6.58,6649076
SHSE.603066,10.24,10.47,10.2,10.45,4528936
SHSE.688679,9.7,9.84,9.5,9.81,1053526
SHSE.603021,3.82,4.03,3.8,4.01,18318020
SHSE.603880,4.05,4.23,4.04,4.22,4280360
SHSE.603208,17.82,18.0,17.55,17.96,829537
SHSE.603948,18.85,19.98,18.68,19.98,4224399
SHSE.600095,6.74,6.81,6.69,6.81,17951015
SHSE.603333,4.49,4.69,4.46,4.68,30333001
SHSE.688230,43.34,44.8,43.06,44.63,992485
SHSE.601700,4.21,4.3,4.18,4.28,7796600
SHSE.603009,36.58,37.28,35.89,36.72,12058064
SHSE.688181,29.33,30.43,29.33,29.93,2822288
SHSE.603757,19.77,20.32,19.28,20.31,1823860
SHSE.600757,9.18,9.18,8.97,9.04,12560600
SHSE.688035,33.37,34.11,33.12,34.11,1577446
SHSE.603178,16.86,17.15,16.84,17.14,3171400
SHSE.600151,7.35,7.4,7.2,7.38,11896633
SHSE.600184,9.47,9.65,9.39,9.63,3197772
SHSE.603956,4.98,5.29,4.98,5.23,4885200
SHSE.600668,9.74,9.81,9.5,9.71,2001392
SHSE.603101,8.87,9.17,8.77,9.17,5636769
SHSE.600575,3.42,3.42,3.28,3.36,93014001
SHSE.688469,4.74,4.76,4.64,4.72,47620073
SHSE.603788,13.16,13.41,13.14,13.3,1841670
SHSE.601919,14.77,14.88,14.52,14.76,92787531
SHSE.600996,7.78,8.06,7.71,8.03,14672260
SHSE.601098,14.0,14.01,13.57,13.71,14864101
SHSE.603639,12.46,13.3,12.34,13.16,5091369
SHSE.600327,5.1,5.46,4.89,5.35,99049544
SHSE.600519,1444.66,1451.89,1439.0,1440.2,2422118
SHSE.601279,3.8,4.08,3.64,3.74,44992329
SHSE.603990,9.54,9.76,9.36,9.75,9058269
SHSE.603393,28.85,28.97,27.63,27.96,10423055
SHSE.603285,20.64,21.16,20.5,21.16,1564582
SHSE.600308,3.5,3.51,3.44,3.49,6213820
SHSE.600606,1.99,2.01,1.95,2.01,73409408
SHSE.600373,12.64,12.68,12.4,12.51,14585963
SHSE.600618,11.97,12.31,11.2,11.76,74826388
SHSE.605028,16.36,16.63,16.17,16.63,1325400
SHSE.600026,11.61,11.73,11.45,11.59,20089105
SHSE.603977,11.75,11.87,11.55,11.79,7523005
SHSE.600249,4.87,4.95,4.8,4.95,10691740
SHSE.688788,28.76,29.5,28.66,29.5,430935
SHSE.603993,6.85,7.14,6.82,7.04,236199927
SHSE.688119,3.67,3.71,3.64,3.71,2524778
SHSE.603337,28.56,29.3,28.42,28.6,2447421
SHSE.603110,13.14,13.85,13.13,13.72,4900900
SHSE.603697,9.9,10.2,9.82,10.1,5180020
